# # # # # # # # # # # # # # # # # # # # # # # . # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # . . . . . . . . # # # # # # # # # . . . . . # # # # # # # # . . . . # # . . . . . . # # # # #
# # . . . # . . . . . . . . . . . . . . . . . . . # # # # # # . . . . . . . . . . . # # 4 # # # # #
# # # . # # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # . # # # # #
# # . . # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # # # #
# . # # # # . w w w w w w w . . . . . . . . . . . . . . . . . . . . . w w w w w w . . # # # # . # #
# . . . . # . w , , , , , w . . . . . . . . . . . 2 . . . . . . . . . w , , , , w . . . # # . . # #
# # . . # # . w , , . , . w . . . . . . . . . . . . . . . . . . . . . w , , , , w . . . . . . . # #
# # . . . # . w , , , , . . . . . . 3 . . . . . . . . . . . . . . . . w , , , , w . . . . . . # # #
# # # . . . . w , . , . , , . . . . . . . . . . . . . . . . . . . . . w , , , , w . . . . . . # # #
# # # . . . . w , , , . . , . . . . . . . . . . . . . . . . . . . . . + , , , , w . . . . . . # # #
# # # . . 0 . w w w + , . . . . . . . . . . . . . . . . . . . . . . . w , , , , w . . . . . # # # #
# # # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . w , , , , w . . . . . # # # #
# # # . . 0 . . . . . . . . . . . . . . . . , , , , , . . . . . . . . w , , , , w . . . . . # # # #
# # # . . . . . . . . . . . . . . . . . , , , , , , , , , . . . . . . w , , , , w . . . . . . # # #
# # . . . . . . . . . . . . . . . . , , , , , , P , , , , , , . . . . w , , , , w . . . . . . . . #
# # . . . . . . . . . . . . . . . , , , , , , , , , , , , , , , . . . w w w w w w . . . . . . . . #
# # . . . . . . . . . . . . . . , , P , , , , , , , , , , , P , , . . . . . . . . . . . . . . . . #
# # . . . . # # . . . . . . . . , , , , , , w w + w w , , , , , , . . . . . . . . . . . . . . . . #
# . . . . # # # . . . . . . . , , , , , w w w , , , w w w , , , , , . . . . . . . . . . . . . .. . #
# . . . . # # . . . . . . . . , , , , , w , , , , , , , w , , , , , . . . . . . . . . . . . . . . #
. . . . . . . . . . . . . . , , , , , w w , , , , , , , w w , , , , , . . . . . . . . 5 5 . . . . #
# . . . . . . . . . . . . . , , , , , w , , , , , , , , , w , , , , , . . . . . . . . 5 . . . . . .
# . . . . . . . . . . . . . , , P , , + , , , F A M , , , + , , P , , . . . . . . . . . . . # # # #
# # . . . . . . . . . . . . , , , , , w , , , , , , , , , w , , , , , . . . . . . . . . . # # # # #
# # # . . . . . . . . . . . , , , , , w w , , , , , , , w w , , , , , . . . . . . . . . . . . # # #
# # # . . . . . . . . . . . . , , , , , w , , , , , , , w , , , , , . . . . . . . . . . . . . # # #
# # . . . . . . . . . . . . . , , , , , w w w , , , w w w , , , , , . . . . . . . . . . . . . # # #
# 1 . . . . . . . . . . . . . . , , , , , , w w + w w , , , , , , . . . . . . . . . . . . . . # # #
# . 1 . . . . . . . . . . . . . , , P , , , , , , , , , , , P , , . . . . . . . . . . . . . . # # #
# # . . . . . . . . . . . . . . . , , , , , , , , , , , , , , , . . . . . . . . . . . # . . . . # #
# # . . . . . . . . 2 . . . . . . . , , , , , , P , , , , , , . . . . . . . . . . . # # . . # . # #
# # . . . . . . . . . . . . . . . . . . , , , , , , , , , . . . . . . . . . 3 . . . # # . . # . # #
# # . . . . . . . . . . . . . . . . . . . . , , , , , . . . . . . . . . . . . . . . # # # # # . # #
# # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # # # # . . #
# # # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # # . . . #
# # # . . w w + w w w + w w w + w w w + w w w + w w w + w w w + w w w + w w . . . . . # # . . . . #
# # # . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . . # # . . # . #
# # # . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . . # # . . # . #
# # # . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . . # # . . . . #
# . . . . w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w . . . . . # . . . # # #
# . . . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . # # . . . # # #
# . . . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . # # 9 . . . . #
# . . . . w , , , w , , , w , , , w , , , w , , , w , , , w , , , w , , , w . . . . # # . . . # . #
# 4 . . . w w + w w w + w w w + w w w + w w w + w w w + w w w + w w w + w w . . . # # # # # # # . #
# # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # # # # # # # . #
# # # # . . . . . . . . . . . . . . . . . . 4 . . . . . . . . . . . . . . . # # # # # # . . . . . #
# # # # . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . # # # # # # . . . . # # # . #
# # # # # # # # # # # # # # # # # . . . . . . . . . . . . . . . . . # # # # # # . . . . . . # . . #
# # # # # # # # # # # # # # # # # . # # # # # # # . # # # # # # # # # # # # # # # # # . # # # # # #
